"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Rk","MP_Home","W_Home","D_Home","L_Home","GF_Home","GA_Home","GD_Home","Pts_Home","Pts_per_MP_Home","xG_Home","xGA_Home","xGD_Home","xGD_per_90_Home","MP_Away","W_Away","D_Away","L_Away","GF_Away","GA_Away","GD_Away","Pts_Away","Pts_per_MP_Away","xG_Away","xGA_Away","xGD_Away","xGD_per_90_Away"
"1","Premier League","M","ENG",2020,"Arsenal","team","8","19","10","6","3","36","24","+12","36","1.89","26.3","29.0","-2.7","-0.14","19","4","8","7","20","24","-4","20","1.05","20.7","26.3","-5.6","-0.30"
"2","Premier League","M","ENG",2020,"Aston Villa","team","17","19","7","3","9","22","30","-8","24","1.26","23.9","32.1","-8.2","-0.43","19","2","5","12","19","37","-18","11","0.58","20.4","35.6","-15.3","-0.80"
"3","Premier League","M","ENG",2020,"Bournemouth","team","18","19","5","6","8","22","30","-8","21","1.11","24.2","28.2","-4.0","-0.21","19","4","1","14","18","35","-17","13","0.68","20.6","34.1","-13.4","-0.71"
"4","Premier League","M","ENG",2020,"Brighton","team","15","19","5","7","7","20","27","-7","22","1.16","23.5","25.7","-2.2","-0.12","19","4","7","8","19","27","-8","19","1.00","21.9","29.2","-7.3","-0.39"
"5","Premier League","M","ENG",2020,"Burnley","team","10","19","8","4","7","24","23","+1","28","1.47","30.5","23.9","+6.5","+0.34","19","7","5","7","19","27","-8","26","1.37","16.9","25.8","-8.9","-0.47"
"6","Premier League","M","ENG",2020,"Chelsea","team","4","19","11","3","5","30","16","+14","36","1.89","40.4","11.9","+28.5","+1.50","19","9","3","7","39","38","+1","30","1.58","28.8","26.7","+2.1","+0.11"
"7","Premier League","M","ENG",2020,"Crystal Palace","team","14","19","6","5","8","15","20","-5","23","1.21","19.0","22.2","-3.2","-0.17","19","5","5","9","16","30","-14","20","1.05","16.8","34.9","-18.0","-0.95"
"8","Premier League","M","ENG",2020,"Everton","team","12","19","8","7","4","24","21","+3","31","1.63","27.1","24.2","+2.9","+0.16","19","5","3","11","20","35","-15","18","0.95","23.7","24.1","-0.4","-0.02"
"9","Premier League","M","ENG",2020,"Leicester City","team","5","19","11","4","4","35","17","+18","37","1.95","28.4","21.9","+6.5","+0.34","19","7","4","8","32","24","+8","25","1.32","33.8","23.6","+10.2","+0.54"
"10","Premier League","M","ENG",2020,"Liverpool","team","1","19","18","1","0","52","16","+36","55","2.89","39.1","16.9","+22.1","+1.16","19","14","2","3","33","17","+16","44","2.32","29.8","20.8","+9.0","+0.47"
"11","Premier League","M","ENG",2020,"Manchester City","team","2","19","15","2","2","57","13","+44","47","2.47","45.7","14.4","+31.3","+1.65","19","11","1","7","45","22","+23","34","1.79","46.2","21.8","+24.5","+1.29"
"12","Premier League","M","ENG",2020,"Manchester Utd","team","3","19","10","7","2","40","17","+23","37","1.95","33.7","18.0","+15.7","+0.82","19","8","5","6","26","19","+7","29","1.53","28.5","19.7","+8.8","+0.46"
"13","Premier League","M","ENG",2020,"Newcastle Utd","team","13","19","6","8","5","20","21","-1","26","1.37","18.9","30.9","-12.0","-0.63","19","5","3","11","18","37","-19","18","0.95","16.7","34.7","-18.1","-0.95"
"14","Premier League","M","ENG",2020,"Norwich City","team","20","19","4","3","12","19","37","-18","15","0.79","18.2","33.3","-15.2","-0.80","19","1","3","15","7","38","-31","6","0.32","18.8","33.1","-14.3","-0.75"
"15","Premier League","M","ENG",2020,"Sheffield Utd","team","9","19","10","3","6","24","15","+9","33","1.74","26.9","21.3","+5.6","+0.29","19","4","9","6","15","24","-9","21","1.11","16.2","29.7","-13.5","-0.71"
"16","Premier League","M","ENG",2020,"Southampton","team","11","19","6","3","10","21","35","-14","21","1.11","25.6","29.2","-3.6","-0.19","19","9","4","6","30","25","+5","31","1.63","30.5","23.6","+6.9","+0.36"
"17","Premier League","M","ENG",2020,"Tottenham","team","6","19","12","3","4","36","17","+19","39","2.05","25.6","22.9","+2.7","+0.14","19","4","8","7","25","30","-5","20","1.05","22.3","31.3","-9.0","-0.47"
"18","Premier League","M","ENG",2020,"Watford","team","19","19","6","6","7","22","27","-5","24","1.26","29.1","26.9","+2.2","+0.12","19","2","4","13","14","37","-23","10","0.53","19.7","31.2","-11.5","-0.61"
"19","Premier League","M","ENG",2020,"West Ham","team","16","19","6","4","9","30","33","-3","22","1.16","24.7","29.7","-5.0","-0.26","19","4","5","10","19","29","-10","17","0.89","23.9","34.1","-10.2","-0.54"
"20","Premier League","M","ENG",2020,"Wolves","team","7","19","8","7","4","27","19","+8","31","1.63","29.5","18.1","+11.5","+0.60","19","7","7","5","24","21","+3","28","1.47","24.6","19.9","+4.7","+0.24"
